Product URL,Product Name,Product Price,Rating,Number of reviews,Description,ASIN,Manufacturer,Product Description
/Genie-Ltrs-School-Backpack-CAMELLIA17SBPIN/dp/B07QHMKHWH,"Genie Camellia School Bag for Girls, 17 inch Backpack for Women, 3 compartments Water Resistant Stylish and Trendy College Backpacks for Girls",799,4.2,"3,736 ","Genie Camellia School Bag for Girls, 17 inch Backpack for Women, 3 compartments Water Resistant Stylish and Trendy College Backpacks for Girls : Amazon.in: Fashion",B07QHMKHWH,Genie,"Genie Camellia School Bag for Girls, 17 inch Backpack for Women, 3 compartments Water Resistant Stylish and Trendy College Backpacks for Girls : Amazon.in: Fashion"
/Backpack-Small-Black-Water-Repellant/dp/B088XB5XY8,"Mi Step Out 12 L Mini Backpack (Small Size, Black, Water Repellant)",229,4.1,"10,271 ","Mi Step Out 12 L Mini Backpack (Small Size, Black, Water Repellant) : Amazon.in: Bags, Wallets and Luggage",B088XB5XY8,MI,"Mi Step Out 12 L Mini Backpack (Small Size, Black, Water Repellant) : Amazon.in: Bags, Wallets and Luggage"
/ADISA-BP010-Weight-Casual-Backpack/dp/B07MXL986B,ADISA 32 Ltrs Water Resistant Casual Travel Bagpack/College Backpack/School Office Bag for Men and Women,374,3.9,"4,291 ","ADISA 32 Ltrs Water Resistant Casual Travel Bagpack/College Backpack/School Office Bag for Men and Women (grey) : Amazon.in: Bags, Wallets and Luggage",B07S6SY5DM,ADISA,"ADISA 32 Ltrs Water Resistant Casual Travel Bagpack/College Backpack/School Office Bag for Men and Women (grey) : Amazon.in: Bags, Wallets and Luggage"
/Step-Backpack-Small-Water-Repellant/dp/B088XG77KN,"Mi Step Out 12 L Mini Backpack (Small Size, Red, Water Repellant)",229,4.1,"10,271 ","Mi Step Out 12 L Mini Backpack (Small Size, Red, Water Repellant) : Amazon.in: Bags, Wallets and Luggage",B088XG77KN,MI,"Mi Step Out 12 L Mini Backpack (Small Size, Red, Water Repellant) : Amazon.in: Bags, Wallets and Luggage"
/Lipton-Honey-Lemon-Green-Pieces/dp/B01HMQ4HLW,"Lipton Honey Lemon Green Tea Bags 100 pcs, All Natural Flavour, Zero Calories - Improves Metabolism & Reduces Waist",518,4.4,"28,147 ","Lipton Honey Lemon Green Tea Bags 100 pcs, All Natural Flavour, Zero Calories - Improves Metabolism & Reduces Waist : Amazon.in: Grocery & Gourmet Foods",B01HMQ4HLW,Lipton,"Lipton Honey Lemon Green Tea Bags 100 pcs, All Natural Flavour, Zero Calories - Improves Metabolism & Reduces Waist : Amazon.in: Grocery & Gourmet Foods"
/American-Tourister-BACKPACK-COMPARTMENT-ORGANIZER/dp/B0BTD4S4XF,American Tourister Valex 28 Ltrs Large Laptop Backpack with Bottle Pocket and Front Organizer- Black,"1,399",4.3,"1,343 ",Buy American Tourister Valex 28 Ltrs Large Laptop Backpack with Bottle Pocket and Front Organizer- Black from Laptop Backpacks at Amazon.in. 30 days free exchange or return,B0BTD4S4XF,American Tourister,Buy American Tourister Valex 28 Ltrs Large Laptop Backpack with Bottle Pocket and Front Organizer- Black from Laptop Backpacks at Amazon.in. 30 days free exchange or return
/Arctic-Fox-Backpack-Charging-Laptop/dp/B089QBD333,Arctic Fox Slope Anti Theft 23 L Backpack with USB Charging Port 15 Inch Laptop Backpack (Marble Black),"1,299",4.5,"4,528 ",Buy Arctic Fox Slope Anti-Theft Backpack | 15.5 Inches Laptop Bag with USB Charging Port| (Black) from Laptop Backpacks at Amazon.in. 30 days free exchange or return,B0BZPT6CSK,Arctic Fox,Buy Arctic Fox Slope Anti-Theft Backpack | 15.5 Inches Laptop Bag with USB Charging Port| (Black) from Laptop Backpacks at Amazon.in. 30 days free exchange or return
/Lenovo-Carrying-15-6-Inch-Toploader-GX40Q17229/dp/B075Y6Y9H5,Lenovo 15.6-inch Casual Laptop Briefcase T210,799,4.2,"21,705 ","Amazon.in: Buy Lenovo Casual Laptop Briefcase T210 (Toploader) 39.62 cm (15.6-inch) Water Repellent Black online at low price in India on Amazon.in. Check out Lenovo Casual Laptop Briefcase T210 (Toploader) 39.62 cm (15.6-inch) Water Repellent Black reviews, ratings, features, specifications and more at Amazon.in",B084K5F18Y,Lenovo,"Amazon.in: Buy Lenovo Casual Laptop Briefcase T210 (Toploader) 39.62 cm (15.6-inch) Water Repellent Black online at low price in India on Amazon.in. Check out Lenovo Casual Laptop Briefcase T210 (Toploader) 39.62 cm (15.6-inch) Water Repellent Black reviews, ratings, features, specifications and more at Amazon.in"
/ADISA-Laptop-Backpack-Office-College/dp/B09TPX22NF,ADISA 15.6 inch laptop backpack office bag college travel back pack 32 Ltrs,399,3.9,"1,397 ","Amazon.in: Buy ADISA 15.6 inch laptop backpack office bag college travel back pack 32 Ltrs (z-Navy Blue) online at low price in India on Amazon.in. Check out ADISA 15.6 inch laptop backpack office bag college travel back pack 32 Ltrs (z-Navy Blue) reviews, ratings, features, specifications and more at Amazon.in",B09TPVX622,ADISA,"Amazon.in: Buy ADISA 15.6 inch laptop backpack office bag college travel back pack 32 Ltrs (z-Navy Blue) online at low price in India on Amazon.in. Check out ADISA 15.6 inch laptop backpack office bag college travel back pack 32 Ltrs (z-Navy Blue) reviews, ratings, features, specifications and more at Amazon.in"
/Wesley-Liter-Casual-Daypack-Backpack/dp/B0BVVY98PZ,Wesley 15 Liter Casual Daypack Backpack,149,3.8,360 ,Wesley 15 Liter Casual Daypack Backpack (Black) : Amazon.in: Garden & Outdoors,B0C94BHMYY,Wesley,Wesley 15 Liter Casual Daypack Backpack (Black) : Amazon.in: Garden & Outdoors
